"ZatOrigin";"ZatDestination";"LongOrigin";"LatOrigin";"LongDestination";"LatDestination"
1;1;-75.6646846073172;4.78603915166439;-75.6706120430111;4.79057912220009
1;1;-75.6685245328562;4.78946611900783;-75.6728796384258;4.78778412042971
1;1;-75.6726198923374;4.78981135358993;-75.6660256311147;4.7837186147812
1;1;-75.6710081572822;4.78656658217455;-75.6683460769095;4.78597001713189
1;1;-75.6710803109858;4.7852180350345;-75.6651321758802;4.78569487849679
1;1;-75.6686439125496;4.78797603606948;-75.6742295639644;4.78884078488197
1;1;-75.6661519339586;4.7840897137812;-75.6658912838893;4.78356669093243
1;1;-75.6736295608342;4.79059715894146;-75.6743204595067;4.78599688650648
1;1;-75.6639730922025;4.78509797393028;-75.6676641206097;4.78337595541552
1;1;-75.6637657032566;4.78448782216591;-75.672641725672;4.78741519690906
1;1;-75.6655697661522;4.78373370771134;-75.6669499622532;4.78418606351875
1;1;-75.6725354920325;4.78746939964282;-75.6769847041486;4.79068488618018
1;1;-75.6689686221702;4.78533711513637;-75.6666649394794;4.78394249170241
1;1;-75.666017557577;4.78705080117395;-75.6679098363492;4.78938416579209
1;3;-75.6671298917681;4.78820962042188;-75.6681506211756;4.79062286987965
1;3;-75.6689856887765;4.78633732432856;-75.6669116042552;4.79258660020648
1;3;-75.6664151514922;4.78580074890099;-75.6681800459603;4.78970388045435
1;3;-75.6675308459136;4.78530403390878;-75.6683345704419;4.78948879094604
1;3;-75.6723907180028;4.78374207296365;-75.6684644364207;4.79235475097422
1;3;-75.6760176527927;4.7874789306737;-75.6701449372033;4.79275788291776
1;3;-75.6650732154241;4.78297683693212;-75.6704945581917;4.79289920491522
1;3;-75.6775473293919;4.79107379430742;-75.6661023464667;4.79296894307576
1;3;-75.6700127246067;4.78444897527743;-75.6660830469354;4.79241661496505
1;3;-75.6737635934276;4.78964580909184;-75.6712490294545;4.79057138849712
1;3;-75.669465487595;4.78652726099894;-75.6722374965796;4.79245942435874
1;3;-75.6652935269322;4.78383878611437;-75.6699597989231;4.7923239644125
1;3;-75.6705339504545;4.78660802618728;-75.6713815300168;4.79170796640665
1;3;-75.6764104533863;4.78825193718009;-75.6682311287913;4.79146608333932
1;3;-75.6678397282885;4.78631432214071;-75.6718035357857;4.79319165826694
1;17;-75.6691907174439;4.78413816834241;-75.6857826939791;4.80984846112397
1;17;-75.6732610880229;4.78756299568614;-75.6855819452135;4.81168207999664
1;17;-75.6684867872152;4.78675369307712;-75.6872739737113;4.81096161468431
1;17;-75.6727325810506;4.78853613681838;-75.6847833343022;4.81168486876096
1;17;-75.673355864033;4.78883005292638;-75.6852490154291;4.81160218215737
1;17;-75.6701955820257;4.78641963069915;-75.6870471110856;4.81037346195571
1;17;-75.6691579895918;4.78709883411038;-75.6873248775422;4.81147503827459
1;17;-75.6717292733303;4.78781099609381;-75.686421984039;4.80996140939135
1;17;-75.6749844461767;4.79165269431293;-75.684716552931;4.81113182440202
1;17;-75.6713361907453;4.78445346189409;-75.6871184824341;4.81017596165218
1;17;-75.6737685748971;4.78722134395692;-75.6843877453536;4.81147260032394
1;17;-75.6704054601243;4.78485852212521;-75.6851784405963;4.81140016098137
1;17;-75.6694159152713;4.78363454794487;-75.6871609331426;4.81022784291823
1;17;-75.6682269349008;4.78672442773086;-75.6868261852062;4.80975553051396
1;17;-75.6675612906469;4.78655074437562;-75.68737176311;4.81218931070448
1;27;-75.6725352166246;4.78749667215775;-75.6900390841631;4.79632468063516
1;27;-75.6726988739404;4.78690740426827;-75.6910158721393;4.79559185301145
1;27;-75.6723928666464;4.78952777791891;-75.6891723419695;4.79888333936584
1;27;-75.6673150690499;4.78554080524197;-75.6898428432246;4.79584846670668
1;27;-75.6652321583022;4.78288575074785;-75.6899611352048;4.79998560192844
1;27;-75.6660384112468;4.7843968179743;-75.6912956925113;4.79642591654734
1;27;-75.6694505097216;4.79020660632145;-75.6902485682006;4.79604383574609
1;27;-75.6730912354156;4.78710014811567;-75.6889891274022;4.799248259888
1;27;-75.6760976532955;4.78987486903804;-75.6899636905372;4.79567000887852
1;27;-75.6647738525395;4.78493245630792;-75.6896611319905;4.80137027728042
1;27;-75.6689762774236;4.78806196629664;-75.6899078401613;4.79962642175035
1;27;-75.6725311674535;4.7903117046898;-75.6900118246422;4.79984862464944
1;27;-75.6634329351516;4.78571862518103;-75.6910229395238;4.79714801683803
1;27;-75.6756107181618;4.79073237264206;-75.6912033698763;4.79589191503588
1;27;-75.6668590750187;4.78773663503477;-75.6893582982015;4.79916622351198
1;51;-75.6776262860429;4.79052463979023;-75.6890357018921;4.81508486466668
1;51;-75.6766167719735;4.78928582507592;-75.6874764912802;4.81523257023227
1;51;-75.6697276268905;4.78961698167362;-75.6895401424965;4.81450648538638
1;51;-75.6665153343509;4.78364991110619;-75.6891603525701;4.81663879494067
